49140.78115;163350.9095;84.23649617;K45;B45;"GWP;A;Q;87;89";S40;B40;"PENRT - Non Renewable;A;Q;82;84";K42;B42;"AP;A;Q;84;86"
Variante;;;GWP_S;GWP_M;GWP_R;PENRT_S;PENRT_M;PENRT_R;AP_S;AP_M;AP_R
Bestand;;;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
KfW55_3WSV_HFMW_WP_0.05;;;274319.7299;10598.05607;46170.63223;5740263.815;140090.8712;-793645.6448;941.5228644;16.82721609;-41.87245998
KfW55_3WSV_EPS_Gas_0.1;;;287337.5723;12778.97497;25874.53414;6122961.128;210956.5053;-564669.7418;813.4811698;5.696478133;-50.1010475
KfW55_3WSV_EPS_Gas_0.05;;;280241.7926;12755.7157;19175.1695;5899385.138;210572.5391;-452812.9344;795.69055;5.686109855;-40.63725402
KfW55_3WSV_Holz_Gas_0.1;;;173811.5798;12778.97497;61191.34877;6795921.581;210956.5053;-2762234.414;908.3796375;5.696478133;-183.3584624
KfW55_3WSV_Holz_Gas_0.05;;;217019.2691;12778.97497;49230.3483;6247921.62;210956.5053;-1849615.348;856.7411796;5.696478133;-121.4457948
KfW55_3WSV_HFMW_Gas_0.1;;;284058.9626;12778.97497;46139.21429;6222795.461;210956.5053;-1001084.31;980.8129415;5.696478133;-58.89545856
KfW55_3WSV_HFMW_Gas_0.05;;;269071.2489;12755.7157;46228.90676;5978733.039;210572.5391;-944644.9129;880.0243773;5.686109855;-55.95835566
EnEv2016_FB_EPS_Pellets_0.1_Solarthermie;;;261183.8651;4241.611163;2358.297059;3939066.885;50157.56009;-228999.7228;729.0332474;49.44694497;-38.04106723
EnEv2016_FB_EPS_Pellets_0.05_Solarthermie;;;257253.2997;3544.232822;572.8716187;3754598.716;41910.97767;-199189.1362;720.4117967;41.3171973;-35.51890303
EnEv2016_FB_Holz_Pellets_0.1_Solarthermie;;;221619.6202;4241.611163;5981.857139;3124390.397;50157.56009;-780465.1324;562.5080405;49.44694497;-74.16132581
EnEv2016_FB_Holz_Pellets_0.05_Solarthermie;;;221642.5802;3995.634677;2794.170595;3100829.586;47248.85868;-537246.0533;562.4806005;46.57945304;-57.66118621
EnEv2016_FB_HFMW_Pellets_0.1_Solarthermie;;;221685.5128;4241.611163;8057.124767;3124149.714;50157.56009;-244163.1856;562.5506115;49.44694497;-33.94287287
EnEv2016_FB_HFMW_Pellets_0.05_Solarthermie;;;221681.59;3995.634677;8056.613513;3100834.278;47248.85868;-244170.568;562.5321597;46.57945304;-33.94604862
EnEv2016_2WSV_EPS_Pellets_0.1_Solarthermie;;;275827.1473;4110.672884;11656.80212;4355274.981;48609.19926;-400681.0757;821.0578903;47.92052078;-44.82781381
EnEv2016_2WSV_EPS_Pellets_0.05_Solarthermie;;;264818.6062;4267.65643;13225.09866;4213489.991;50465.54849;-367525.8924;754.3776109;49.75056989;-35.0950012
EnEv2016_2WSV_Holz_Pellets_0.1_Solarthermie;;;257627.6386;4110.672884;13294.87786;4382879.968;48609.19926;-649977.925;826.7655018;47.92052078;-61.15642935
EnEv2016_2WSV_Holz_Pellets_0.05_Solarthermie;;;257627.6386;3845.681574;13294.87786;4357811.537;45475.64527;-649977.925;826.7655018;44.83136191;-61.15642935
EnEv2016_2WSV_HFMW_Pellets_0.1_Solarthermie;;;270229.0571;4110.672884;19882.74694;4478214.162;48609.19926;-458066.7694;859.3530923;47.92052078;-44.30635753
EnEv2016_2WSV_HFMW_Pellets_0.05_Solarthermie;;;270229.0571;3845.681574;19882.74694;4453145.73;45475.64527;-458066.7694;859.3530923;44.83136191;-44.30635753
EnEv2016_3WSV_EPS_Pellets_0.1_Solarthermie;;;280368.6979;3810.796341;11626.88551;4385699.751;45063.12322;-401088.2422;839.7243088;44.42468433;-45.01274295
EnEv2016_3WSV_EPS_Pellets_0.05_Solarthermie;;;280368.6979;3544.232822;11626.88551;4360482.586;41910.97767;-401088.2422;839.7243088;41.3171973;-45.01274295
EnEv2016_3WSV_Holz_Pellets_0.1_Solarthermie;;;262169.1892;3810.796341;13264.96125;4413304.738;45063.12322;-650385.0915;845.4319203;44.42468433;-61.3413585
EnEv2016_3WSV_Holz_Pellets_0.05_Solarthermie;;;262169.1892;3544.232822;13264.96125;4388087.574;41910.97767;-650385.0915;845.4319203;41.3171973;-61.3413585
EnEv2016_3WSV_HFMW_Pellets_0.1_Solarthermie;;;3297928.793;3810.796341;19853.00228;5038532.448;45063.12322;-458471.4529;3244487.237;44.42468433;-44.49021856
EnEv2016_3WSV_HFMW_Pellets_0.05_Solarthermie;;;275432.3233;3544.232822;19853.00228;4491151.552;41910.97767;-458471.4529;881.1320363;41.3171973;-44.49021856
EnEv2016_FB_EPS_WP_0.1_Solarthermie;;;450935.7928;20951.17321;-64911.08665;8787093.08;276944.0063;-1824239.552;2229.480396;33.26552686;-469.0553338
EnEv2016_FB_EPS_WP_0.05_Solarthermie;;;447005.2274;19638.21843;-56075.71135;8529754.764;259588.6557;-1794428.944;2220.858945;31.180864;-454.701381
EnEv2016_FB_Holz_WP_0.1_Solarthermie;;;402410.606;20951.17321;-51285.81273;8888525.949;276944.0063;-2647960.511;2246.700744;33.26552686;-521.2465223
EnEv2016_FB_Holz_WP_0.05_Solarthermie;;;413925.7348;19638.21843;-28066.91161;8603637.607;259588.6557;-2404741.499;2232.938761;31.180864;-476.8681731
EnEv2016_FB_HFMW_WP_0.1_Solarthermie;;;441903.7043;20951.17321;-49885.9366;8735734.726;276944.0063;-1957947.727;2271.846289;33.26552686;-466.6450598
EnEv2016_FB_HFMW_WP_0.05_Solarthermie;;;442022.4236;19638.21843;-33996.42628;8598157.153;259588.6557;-1968501.372;2270.180093;31.180864;-453.1375523
EnEv2016_2WSV_EPS_WP_0.1_Solarthermie;;;465579.075;20213.61967;-55612.5816;9137692.99;267194.6223;-1995920.905;2321.505038;32.0944656;-475.8420804
EnEv2016_2WSV_EPS_WP_0.05_Solarthermie;;;465579.075;18888.34952;-55612.5816;8997547.855;249676.4804;-1995920.905;2321.505038;29.99024884;-475.8420804
EnEv2016_2WSV_Holz_WP_0.1_Solarthermie;;;434578.4496;20213.61967;-52736.47899;9214093.655;267194.6223;-2433631.628;2333.340891;32.0944656;-504.5115567
EnEv2016_2WSV_Holz_WP_0.05_Solarthermie;;;450808.7514;18888.34952;-52736.47899;9145929.89;249676.4804;-2433631.628;2359.023237;29.99024884;-504.5115567
EnEv2016_2WSV_HFMW_WP_0.1_Solarthermie;;;457067.5451;20213.61967;-48024.02938;9259797.151;267194.6223;-2098553.46;2372.457105;32.0944656;-477.9447137
EnEv2016_2WSV_HFMW_WP_0.05_Solarthermie;;;473297.8469;18888.34952;-48024.02938;9191633.386;249676.4804;-2098553.46;2398.139451;29.99024884;-477.9447137
EnEv2016_3WSV_EPS_WP_0.1_Solarthermie;;;319068.0343;18713.88184;-55642.49821;5748362.028;247370.2717;-1996328.072;828.6198631;29.71323528;-476.0270096
EnEv2016_3WSV_EPS_WP_0.05_Solarthermie;;;470120.5934;17381.08563;-55642.49821;8896948.667;229752.6464;-1996328.072;2340.170983;27.59706891;-476.0270096
EnEv2016_3WSV_Holz_WP_0.1_Solarthermie;;;243045.6618;18713.88184;-52766.3956;6425048.076;247370.2717;-2434038.794;854.87173;29.71323528;-504.6964858
EnEv2016_3WSV_Holz_WP_0.05_Solarthermie;;;439120.0001;17381.08563;-52766.3956;8973351.226;229752.6464;-2434038.794;2352.00731;27.59706891;-504.6964858
EnEv2016_3WSV_HFMW_WP_0.1_Solarthermie;;;273613.5086;18713.88184;-48053.02681;6570864.515;247370.2717;-2098947.354;929.2923674;29.71323528;-478.1239333
EnEv2016_3WSV_HFMW_WP_0.05_Solarthermie;;;461609.0957;17381.08563;-48053.94599;9019054.722;229752.6464;-2098960.627;2391.123524;27.59706891;-478.1296429
EnEv2016_FB_EPS_Gas_0.1_Solarthermie;;;260273.8047;33593.67728;2982.008187;7965106.066;554567.5435;-224447.8386;725.8154159;14.97503895;-35.83189831
