Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
KfW 55;3WSV;EPS;Pellets;0.1;KfW55_3WSV_EPS_Pellets_0.1;1953533.20;19079.85;-569221.63;74462.81;1613.50;25250.82;269.33;18.81;-52.31;0.001775829;5.38263E-08;-5745.516732
KfW 55;3WSV;EPS;Pellets;0.05;KfW55_3WSV_EPS_Pellets_0.05;1502040.77;3967.73;-457364.82;59479.85;335.53;18551.46;236.54;3.91;-42.85;0.001745472;1.11934E-08;-5745.51673
KfW 55;3WSV;Holz;Pellets;0.1;KfW55_3WSV_Holz_Pellets_0.1;2423088.14;19079.85;-2781668.07;-45426.26;1613.50;59906.97;352.31;18.81;-191.06;6.424706574;5.38263E-08;-8361.832927
KfW 55;3WSV;Holz;Pellets;0.05;KfW55_3WSV_Holz_Pellets_0.05;1875088.18;19045.12;-1869049.01;-2218.57;1610.56;47945.97;300.67;18.78;-129.14;6.424706344;5.37283E-08;-8361.832922
KfW 55;3WSV;HF MW;Pellets;0.1;KfW55_3WSV_HFMW_Pellets_0.1;1695237.99;19079.85;-1020567.67;51575.83;1613.50;44851.40;362.44;18.81;-66.61;6.425298184;5.38263E-08;-8361.832973
KfW 55;3WSV;HF MW;Pellets;0.05;KfW55_3WSV_HFMW_Pellets_0.05;1608971.33;19045.12;-964078.57;49833.41;1610.56;44944.53;323.96;18.78;-63.66;6.425183157;5.37283E-08;-8361.832965
KfW 55;3WSV;EPS;WP;0.1;KfW55_3WSV_EPS_WP_0.1;2266923.95;140289.84;-754531.49;76585.21;10613.11;43667.43;317.03;16.85;-47.05;12.83664974;1.91794E-05;-7489.735384
KfW 55;3WSV;EPS;WP;0.05;KfW55_3WSV_EPS_WP_0.05;1815431.52;140090.87;-642674.68;61602.25;10598.06;36968.07;284.23;16.83;-37.58;12.83661938;1.91522E-05;-7489.735382
KfW 55;3WSV;Holz;WP;0.1;KfW55_3WSV_Holz_WP_0.1;2769008.97;140289.84;-2754399.68;-51837.84;10613.11;63008.67;404.09;16.85;-178.99;19.25957046;1.91794E-05;-8361.832927
KfW 55;3WSV;Holz;WP;0.05;KfW55_3WSV_Holz_WP_0.05;2221009.01;140090.87;-1841780.61;-8630.15;10598.06;51047.67;352.45;16.83;-117.08;19.25957023;1.91522E-05;-8361.832923
KfW 55;3WSV;HF MW;WP;0.1;KfW55_3WSV_HFMW_WP_0.1;2138522.79;140289.84;-850085.04;67635.44;10613.11;46080.94;479.94;16.85;-44.81;19.26016239;1.91794E-05;-8361.832973
KfW 55;3WSV;HF MW;WP;0.05;KfW55_3WSV_HFMW_WP_0.05;1897532.10;140090.87;-793645.64;52647.72;10598.06;46170.63;379.15;16.83;-41.87;19.26004706;1.91522E-05;-8361.832964
KfW 55;3WSV;EPS;Gas;0.1;KfW55_3WSV_EPS_Gas_0.1;1713304.34;210956.51;-564669.74;65665.57;12778.97;25874.53;251.11;5.70;-50.10;0.001846298;9.084E-09;-5745.516732
KfW 55;3WSV;EPS;Gas;0.05;KfW55_3WSV_EPS_Gas_0.05;1492800.08;210572.54;-452812.93;58569.79;12755.72;19175.17;233.32;5.69;-40.64;0.001745495;9.06747E-09;-5745.51673
KfW 55;3WSV;Holz;Gas;0.1;KfW55_3WSV_Holz_Gas_0.1;2386264.79;210956.51;-2762234.41;-47860.43;12778.97;61191.35;346.01;5.70;-183.36;6.419266559;9.084E-09;-8361.832926
KfW 55;3WSV;Holz;Gas;0.05;KfW55_3WSV_Holz_Gas_0.05;1838264.83;210956.51;-1849615.35;-4652.74;12778.97;49230.35;294.37;5.70;-121.45;6.419266328;9.084E-09;-8361.832922
KfW 55;3WSV;HF MW;Gas;0.1;KfW55_3WSV_HFMW_Gas_0.1;1813138.67;210956.51;-1001084.31;62386.96;12778.97;46139.21;418.44;5.70;-58.90;6.419858477;9.084E-09;-8361.832973
KfW 55;3WSV;HF MW;Gas;0.05;KfW55_3WSV_HFMW_Gas_0.05;1572147.98;210572.54;-944644.91;47399.24;12755.72;46228.91;317.65;5.69;-55.96;6.419743141;9.06747E-09;-8361.832964
EnEv2016;FB;EPS;Pellets;0.1;EnEv2016_FB_EPS_Pellets_0.1_Solarthermie;815801.66;50157.56;-228999.72;39511.86;4241.61;2358.30;166.66;49.45;-38.04;0.000213339;1.415E-07;-0.000825876
EnEv2016;FB;EPS;Pellets;0.05;EnEv2016_FB_EPS_Pellets_0.05_Solarthermie;697306.15;41910.98;-199189.14;35581.29;3544.23;572.87;158.04;41.32;-35.52;0.000204691;1.18235E-07;-0.000825284
