Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;3244168,48;50559439,36;-163350,91;258054,76;1110686,80;49140,78;663,80;1690,55;84,24;0,599915029;2,17714E-06;-6540,623999
KfW 55;3WSV;EPS;Pellets;0,05;KfW55_3WSV_EPS_Pellets_0.05;1492800,08;6328695,16;-452812,93;58569,79;383369,25;19175,17;233,32;170,89;-40,64;0,001745495;2,7252E-07;-5745,51673
KfW 55;3WSV;Holz;Pellets;0,1;KfW55_3WSV_Holz_Pellets_0.1;2386264,79;6328695,16;-2762234,41;-47860,43;383369,25;61191,35;346,01;170,89;-183,36;6,419266559;2,7252E-07;-8361,832926
KfW 55;3WSV;Holz;Pellets;0,05;KfW55_3WSV_Holz_Pellets_0.05;1838264,83;6328695,16;-1849615,35;-4652,74;383369,25;49230,35;294,37;170,89;-121,45;6,419266328;2,7252E-07;-8361,832922
KfW 55;3WSV;HF MW;Pellets;0,1;KfW55_3WSV_HFMW_Pellets_0.1;1695237,99;6328695,16;-1020567,67;51575,83;383369,25;44851,40;362,44;170,89;-66,61;6,425298184;2,7252E-07;-8361,832973
KfW 55;3WSV;HF MW;Pellets;0,05;KfW55_3WSV_HFMW_Pellets_0.05;1608971,33;6328695,16;-964078,57;49833,41;383369,25;44944,53;323,96;170,89;-63,66;6,425183157;2,7252E-07;-8361,832965
KfW 55;3WSV;EPS;WP;0,1;KfW55_3WSV_EPS_WP_0.1;2266923,95;4208695,15;-754531,49;76585,21;318393,25;43667,43;317,03;505,53;-47,05;12,83664974;0,000575383;-7489,735384
KfW 55;3WSV;EPS;WP;0,05;KfW55_3WSV_EPS_WP_0.05;1815431,52;4202726,14;-642674,68;61602,25;317941,68;36968,07;284,23;504,82;-37,58;12,83661938;0,000574567;-7489,735382
KfW 55;3WSV;Holz;WP;0,1;KfW55_3WSV_Holz_WP_0.1;2769008,97;4208695,15;-2754399,68;-51837,84;318393,25;63008,67;404,09;505,53;-178,99;19,25957046;0,000575383;-8361,832927
KfW 55;3WSV;Holz;WP;0,05;KfW55_3WSV_Holz_WP_0.05;2221009,01;4202726,14;-1841780,61;-8630,15;317941,68;51047,67;352,45;504,82;-117,08;19,25957023;0,000574567;-8361,832923
KfW 55;3WSV;HF MW;WP;0,1;KfW55_3WSV_HFMW_WP_0.1;2138522,79;4208695,15;-850085,04;67635,44;318393,25;46080,94;479,94;505,53;-44,81;19,26016239;0,000575383;-8361,832973
KfW 55;3WSV;HF MW;WP;0,05;KfW55_3WSV_HFMW_WP_0.05;1897532,10;4202726,14;-793645,64;52647,72;317941,68;46170,63;379,15;504,82;-41,87;19,26004706;0,000574567;-8361,832964
